age,annual_income,credit_score,employment_type,loan_amount,monthly_existing_emis,loan_purpose,loan_tenure_months,years_in_current_job,total_work_experience,existing_loan_count,residential_status,number_of_dependents,city_tier,education_level,marital_status,bank_account_vintage_months,risk_score,approval_status,dti_ratio,loan_to_income_ratio
39,400947,546,Salaried,885582,10295,Personal,60,1.7,16.7,1,Rented,1,Metro,High-School,Married,120,32.4,REJECTED,87.78,2.21
33,370514,636,Salaried,1334080,6522,Education,84,0.4,0.4,1,Rented,1,Metro,Graduate,Married,7,34.98,REJECTED,93.97,3.6
41,300000,658,Self-Employed,410757,6021,Personal,60,2.1,2.1,1,Family-Owned,0,Metro,High-School,Married,49,50.82,MANUAL_REVIEW,59.4,1.37
50,1536723,710,Salaried,1472450,0,Personal,36,4.4,11.2,0,Family-Owned,1,Tier-3,Post-Graduate,Married,158,77.94,APPROVED,37.37,0.96
32,1330352,636,Salaried,3028926,0,Education,60,5.2,9.8,0,Family-Owned,4,Tier-2,Graduate,Married,201,53.56,MANUAL_REVIEW,58.72,2.28
32,1746028,439,Salaried,3209408,0,Medical,48,4.9,6.0,0,Family-Owned,2,Tier-3,Graduate,Married,200,43.7,MANUAL_REVIEW,56.47,1.84
50,1470452,638,Salaried,3844057,0,Education,84,2.1,23.9,0,Family-Owned,0,Tier-1,Graduate,Married,46,51.7,MANUAL_REVIEW,52.89,2.61
42,350958,441,Self-Employed,942186,0,Education,84,6.0,6.0,0,Family-Owned,3,Metro,Professional,Married,56,42.8,MANUAL_REVIEW,54.32,2.68
30,429403,642,Salaried,673331,9147,Medical,12,1.0,1.0,2,Rented,3,Metro,Post-Graduate,Single,25,40.6,REJECTED,191.43,1.57
40,538414,684,Freelancer,3780538,0,Home,180,4.7,4.7,0,Owned,3,Metro,Post-Graduate,Single,87,40.14,REJECTED,93.14,7.02
30,948653,684,Self-Employed,3207714,0,Home,240,5.8,5.8,0,Family-Owned,2,Tier-2,Post-Graduate,Divorced,158,62.16,MANUAL_REVIEW,40.51,3.38
